Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode
Linden,40.62,-74.25,693 West Edgar Road,,Aviation Plaza at Linden,Linden,NJ
"Rte 46 W, Little Ferry",40.86,-74.04,300 Route 46 West,,,Little Ferry,NJ
Livingston,40.8,-74.32,1 West Mt. Pleasant Avenue,,,Livingston,NJ
Madison,40.75,-74.4,309 Main Street,,,Madison,NJ
Acme - Mahwah #1058,41.1,-74.15,125 Franklin Tpke,,,Mahwah,NJ
Target Stafford Township T-2392,39.71,-74.29,209 Stafford Park Blvd,,,Stafford,NJ
Route 9 Manalapan,40.31,-74.3,310 Route 9 North,,,Manalapan,NJ
Margate NJ,39.33,-74.5,8005 Ventnor Ave,,,Margate City,NJ
Matawan,40.41,-74.23,265 Main Street,,Main Street Village,Matawan,NJ
Mays Landing Wrangleboro,39.45,-74.64,760 Consumer Square,,Wrangleboro Consumer Center,Hamilton,NJ
Medford,39.87,-74.81,560 Stokes Road,,Ironstone Village Shoppes,Medford,NJ
Rte 35-Middletown,40.41,-74.13,2011 Route 35,,,Middletown,NJ
Midland Park Shopping Center,40.98,-74.14,85 Godwin Ave,,Midland Park Shopping Center,Midland Park,NJ
Millburn,40.72,-74.31,343 Millburn Avenue,,,Millburn,NJ
Joyce Kilmer Travel Plaza,40.42,-74.44,"Milepost 78.7 NB, NJ Turnpike",,,Milltown,NJ
Target Millville T-2170,39.42,-75.04,2116 N 2nd St,,,Millville,NJ
Montclair - Church & South Park,40.81,-74.22,40 South Park St,,The Siena,Montclair,NJ
Upper Montclair,40.84,-74.21,572 Valley Road,,,Montclair,NJ
NJ Montvale Travel Plaza.,41.05,-74.05,Montvale Service Area mile 173 Garden St,,,Montvale,NJ
Moorestown Mall Kiosk,39.94,-74.96,400 New Jersey 38,,,Moorestown,NJ
Moorestown-Wright's Hardware,39.96,-74.95,41 East Main Street,,,Moorestown,NJ
"Rte 9, Marlboro",40.35,-74.31,67 Route 9 South,,,Matawan,NJ
Stop & Shop-Morris Plains # 893,40.84,-74.46,245 Littleton Road,,,Morris Plains,NJ
Morristown Medical Ctr - Main Locat,40.79,-74.46,100 Madison Ave,,,Morristown,NJ
"Morristown, Park Place",40.8,-74.48,40 Park Place,,,Morristown,NJ
Mount Laurel Centerton Square,39.97,-74.91,10 Centerton Road,Suite D,Centerton Square Shopping Center,Mount Laurel,NJ
NJ James Cooper Travel Plaza,39.98,-74.89,5 Hartford Rd,,,Mount Laurel,NJ
Route 73 & Fellowship Road,39.93,-74.96,550 Fellowship Road,,,Mount Laurel,NJ
Target Mount Laurel T-1917,39.97,-74.91,4 Centerton Rd,,,Mount Laurel,NJ
Rt. 66 & S. Seaview Square Drive,40.23,-74.05,2301 Rt 66,,,Neptune,NJ
New Brunswick,40.5,-74.44,391 George Street,,Kilmer Square,New Brunswick,NJ
Rutgers University-The Yard,40.5,-74.45,38 Colllege Ave.,,,New Brunswick,NJ
New Providence Village Center,40.71,-74.4,1260 Springfield Avenue,,,New Providence,NJ
"EWR - Newark Concourse C, Space 86",40.69,-74.17,"Terminal C, Space 86",,,Newark,NJ
"EWR - Newark Term C, Space B-50",40.69,-74.17,"Terminal C, Space B-50",,,Newark,NJ
Rutgers U/Newark Robeson Stdnt Ctr,40.74,-74.18,350 Martin Luther King Blvd,,,Newark,NJ
Shoppes on Broad,40.74,-74.17,Broad Street,,,Newark,NJ
"North Bergen, River Rd.",40.79,-74,7301 River Rd.,,,North Bergen,NJ
Target North Bergen Commons T-1865,40.8,-74.02,7101 Tonnelle Ave,,,North Bergen,NJ
"North Brunswick, NJ",40.46,-74.46,522 Shoppes Boulevard,,Shoppes at North Brunswick,North Brunswick,NJ
Target North Brunswick T-2853,40.44,-74.5,101 Grand Ave,,,North Brunswick,NJ
"Northvale, NJ",41.02,-73.95,271B Livingston St.,,Daibes Square at Northvale,Northvale,NJ
Nutley,40.82,-74.16,483 Franklin Avenue,,,Nutley,NJ
Route 35 - Oakhurst,40.26,-74.04,2100 Highway 35,,,Ocean,NJ
Oakland,41.03,-74.24,411 Rampo Valley Rd,,,Oakland,NJ
"Ocean City, NJ - Asbury Ave.",39.28,-74.58,1061 Asbury Ave,,,Ocean City,NJ
Acme - Old Bridge #2827,40.38,-74.31,3500 US-9,,,Old Bridge,NJ
Old Tappan,41.01,-73.98,216 Old Tappan Road,,,Old Tappan,NJ
Garden State Plaza - Lower level,40.92,-74.08,1 Garden State Plaza,Space #9145,,Paramus,NJ
Rt 17 South Paramus,40.93,-74.07,177 Route 17 South,,,Paramus,NJ
Rt. 4 - Paramus,40.92,-74.07,65 Route 4 West,,,Paramus,NJ
Rte 17N - Paramus,40.95,-74.07,370 Route 17 N,,The Container Store Project,Paramus,NJ
Target Paramus T-2381,40.92,-74.06,900 Bergen Town Center,,,Paramus,NJ
Park Ridge,41.04,-74.03,191 Kinderkamack Road,,,Park Ridge,NJ
Hopewell,40.3,-74.78,800 A Denow Road,,,Pennington,NJ
John Fenwick Travel Plaza,39.69,-75.45,"Milepost 5.4 NB, NJ Turnpike",,,Penns Grove,NJ
NJ Clara Barton TP,39.72,-75.46,NJTP Mile Marker 5.4 Southbound,,,Penns Grove,NJ
Phillipsburg,40.69,-75.15,1198 US Highway 22,,,Phillipsburg,NJ
Stop & Shop - Phillipsburg #816,40.68,-75.15,1278 US Hwy 22,,,Phillipsburg,NJ
Target Phillipsburg T-1464,40.67,-75.14,1204 New Brunswick Ave,,,Phillipsburg,NJ
Piscataway,40.55,-74.44,1364 Centennial Way,,Centennial Plaza,Piscataway,NJ
Rutgers University Truck,40.52,-74.44,110 Ethel Rd West,Suite B,,Piscataway,NJ
Rutgers University-Plaza at Livings,40.52,-74.43,105 Joyce Kilmer Ave,#30,,Piscataway,NJ
Absecon Travel Plaza - NJ Turnpike,39.49,-74.59,Garden State Pkwy Mile Marker 41.3,,,Galloway,NJ
Pompton Lakes,41.01,-74.29,45 Wanaque Avenue,,Pompton Lakes Town Square,Pompton Lakes,NJ
Princeton,40.35,-74.66,100 Nassau Street,,,Princeton Junction,NJ
Princeton Market Fair,40.31,-74.66,3535 Rt. 1 Ste. 426,,Princeton Market Fair,Princeton Junction,NJ
Franklin Square - Ramsey,41.08,-74.14,561 North Franklin Turnpike,,Franklin Square,Ramsey,NJ
Ramsey Train Station,41.06,-74.14,8 West Main Street,,,Ramsey,NJ
Red Bank,40.35,-74.07,4-6 White Street,,,Red Bank,NJ
Northeast Ridgewood,40.98,-74.09,363 RT 17 South,,,Ridgewood,NJ
Ridgewood Downtown,40.98,-74.12,193 E Ridgewood Ave,,,Ridgewood,NJ
Rio Grande,39.02,-74.87,3301 Route 9 South,Unit T-1A,Rio Grande Shopping Center,Middle,NJ
Target Riverdale - T2247,40.99,-74.31,94 SR-23,,,Riverdale,NJ
Target Delran T-2104,40.01,-74.96,4000 Route 130,,,Riverside,NJ
Rockaway Townsquare Mall,40.91,-74.55,301 Mt. Hope Avenue,,Rockaway Townsquare Mall,Rockaway,NJ
"Rockaway, Ring Road",40.91,-74.56,395 Mount Hope Avenue,300,,Rockaway,NJ
Target Rockaway T-1864,40.91,-74.56,381 Mt. Hope Ave,,,Rockaway,NJ
Roseland,40.82,-74.33,43 Eisenhower Parkway,,Eagle Rock Plaza,Roseland,NJ
96 Meadow Road,40.82,-74.1,96 Meadow Road,,,Rutherford,NJ
Sea Girt,40.14,-74.06,2150 Highway 35,#E-18,Brook 35 Plaza,Sea Girt,NJ
NJ Alexander Hamilton Travel Plaza,40.78,-74.06,"NJ Turnpike, Milemarker 111.6 S",,,Secaucus,NJ
"Secaucus, Harmon Meadow",40.79,-74.05,700 Plaza Drive,,The Plaza at the Meadows,Secaucus,NJ
Sewell Washington Center,39.75,-75.08,304 Greentree Road,,Washington Center,Mantua,NJ
Target Mantua T-2384,39.77,-75.13,675 Woodbury Glassboro Rd,,,Mantua,NJ
The Mall at Short Hills,40.74,-74.36,1200 Morris Turnpike,,The Mall at Short Hills,Millburn,NJ
Shrewsbury,40.33,-74.06,551 Route 35,,The Grove,Shrewsbury,NJ
"Sicklerville, NJ",39.74,-75.01,611 Berlin Cross Keys Rd.,,,Winslow,NJ
Target Gloucester T-2181,39.75,-74.99,1615 Berlin Cross Keys Rd,,,Winslow,NJ
Somers Point,39.33,-74.6,55 Bethel Road,,Ocean Heights Plaza,Somers Point,NJ
Somerset,40.52,-74.52,120 Cedar Grove Lane,,Cedar Grove Shopping Center,Franklin,NJ
Somerville Town Ctr.,40.57,-74.62,"145 W. Main St, unit A-1",Unit A1,,Somerville,NJ
Cheesequake Travel Plaza,40.47,-74.29,Garden State Parkway Mile Post 124,PO Box 307,,South Amboy,NJ
"Sayreville, NJ",40.46,-74.3,957 Route 9 N,,,South Amboy,NJ
Target South Brunswick NJ T-2256,40.38,-74.57,4190 Rt 1 N,,,South Brunswick,NJ
South Orange,40.75,-74.26,11 Sloan Street,,,South Orange Village,NJ
Target South Plainfield T-1929,40.55,-74.43,5000 Hadley Center Dr,,,South Plainfield,NJ
Acme - Wall Township #780,40.15,-74.06,2007 Route 35,,,Spring Lake,NJ
Summit,40.72,-74.36,2 Beechwood Road,,,Summit,NJ
Jersey Shore Premium Outlets,40.22,-74.09,1 Premium Outlet Blvd.,,,Tinton Falls,NJ
Ocean County Mall,39.98,-74.18,1201 HOOPER AVE,1072,Ocean County Mall,Toms River,NJ
Stop & Shop-Toms River #811,39.95,-74.16,353 Route 37 East,,,Toms River,NJ
Toms River Route 9,40.05,-74.22,2360 Lakewood Rd,,,Toms River,NJ
Richard Stockton Travel Plaza,40.18,-74.64,200 Uncle Petes Rd,,,Trenton,NJ
5340 Route 42 Turnersville,39.76,-75.05,5340 Route 42,,,Washington,NJ
Target Turnersville T-1132,39.73,-75.04,4001 Black Horse Pike,,,Washington,NJ
Kean University-Thompson Library,40.68,-74.24,1000 Morris Ave,,,Union,NJ
Rt. 22 - Center Island,40.69,-74.31,2698 Route 22 East,,,Union,NJ
Target Union T-2141,40.72,-74.29,2235 Springfield Ave,,,Union,NJ
Acme - Vernon #2820,41.19,-74.49,530 CR-515,,,Vernon,NJ
Vineland Cumberland Mall,39.43,-75.04,3849 S. Delsea Road,Space #A0013,Cumberland Mall,Vineland,NJ
"Cedar Hill Shopping Center,Voorhees",39.84,-74.93,148 Route 73,,Cedar Hill Shopping Center,Voorhees,NJ
Warren,40.62,-74.49,4 Mount Bethel Rd,,,Warren,NJ
Target Watchung,40.64,-74.41,1515 US Highway 22,,,Watchung,NJ
Berdan Ave & Hamburg Turnpike,40.96,-74.24,1118 Hamburg Turnpike,,,Wayne,NJ
Macy's - Willowbrook,40.89,-74.26,1100 Willowbrook Blvd,,Willowbrook Mall,Wayne,NJ
Paterson-Hamburg Tpke - Wayne,40.94,-74.2,183 Hamburg Turnpike,,,Wayne,NJ
Wayne Rt. 23,40.95,-74.27,1606 Route 23 North,,,Wayne,NJ
Wayne West Belt Plaza,40.89,-74.25,57 state route 23,,,Wayne,NJ
Willowbrook Mall Food Court,40.89,-74.26,1400 Willowbrook Mall,,Willowbrook Mall,Wayne,NJ
West Caldwell,40.85,-74.3,546 Passaic Ave.,,,West Caldwell,NJ
West New York,40.78,-74.01,55-1 Riverwalk Place,,,West New York,NJ
Westfield,40.65,-74.35,117 Central Avenue,,,Westfield,NJ
Westwood Avenue,40.99,-74.03,102 Westwood Avenue,104,Meisel Building,Westwood,NJ
NJ Grover Cleveland Travel Plaza,40.56,-74.26,Mile Marker 92.9,,,Woodbridge,NJ
Thomas Edison Travel Plza,40.56,-74.27,"New Jersey Turnpike, Mile Post 92.9 S",,,Woodbridge,NJ
Woodbridge Mall,40.56,-74.3,250 Woodbridge Center Drive,,Woodbridge Center,Woodbridge,NJ
Acme - Woodcliff Lake #1069,41.04,-74.07,520 Chestnut Ridge Rd,,,Woodcliff Lake,NJ
Wyckoff,41.01,-74.17,325 Franklin Avenue,,,Wyckoff,NJ
Woodrow Wilson Travel Plaza - N6,40.18,-74.63,"Mile post 57.8-North, NJ Turnpike",,,Hamilton,NJ
