,index,Name,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%),Latitude,Longitude,target search add,Cafe within 1 mile,Is Dunkin within 1 mile radius
98,117,Hillsborough,601 Route 206 & 514,Suite #21,Nelsons Corner Shopping Center,Hillsborough,NJ,119542.0,39712.0,47.8,73.86,5.47,16.87,7.75,54.66,30.0,44.0,23.57,40.4999463,-74.6450248,"601 Route 206 & 514,Hillsborough,NJ",Dunkin',Dunkin'
99,118,Hillsdale,126 Broadway,,,Hillsdale,NJ,124844.0,10520.0,48.96,86.7,1.63,8.43,8.9,50.65,31.0,45.6,25.04,41.0036496,-74.0405414,"126 Broadway,Hillsdale,NJ",Starbucks,Dunkin' Donuts
100,119,Hoboken - 12th & Hudson,1205 N. Hudson Street,,The Shipyards at 12th & Hudson,Hoboken,NJ,127523.0,54117.0,50.34,82.91,2.72,9.29,16.22,66.4,37.0,31.8,13.55,40.7512091,-74.0253726,"1205 N. Hudson Street,Hoboken,NJ",Turning Point of Hoboken,Dunkin' Donuts
101,120,"Hoboken, Washington St.",314  Washington Ave.,,,Hoboken,NJ,127523.0,54117.0,50.34,82.91,2.72,9.29,16.22,66.4,37.0,31.8,13.55,40.7406386,-74.0303582,"314  Washington Ave.,Hoboken,NJ",Starbucks,Dunkin' \\
102,121,Newark St. Hoboken,51 Newark Street,,,Hoboken,NJ,127523.0,54117.0,50.34,82.91,2.72,9.29,16.22,66.4,37.0,31.8,13.55,40.73671179999999,-74.0303022,"51 Newark Street,Hoboken,NJ",Starbucks,Dunkin'
103,122,Howell - Route 9,4701 Rte. 9 No.,Space T1B10,,Howell,NJ,100305.0,52076.0,48.96,87.01,3.87,5.2,9.61,52.11,,41.4,23.52,40.1363575,-74.2238249,"4701 Rte. 9 No.,Howell,NJ",Panera Bread,Dunkin' Donuts
104,123,Rt. 1 North Woodbridge,774 Route 1 N,,,Woodbridge,NJ,83266.0,101639.0,51.15,56.96,11.54,24.58,18.87,49.69,30.0,45.3,20.43,40.5634204,-74.2983919,"774 Route 1 N,Woodbridge,NJ",Panera Bread,Dunkin' Donuts
105,124,Grove Point,98 Christopher Columbus Drive,,,Jersey City,NJ,62739.0,265932.0,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87,40.7194207,-74.04169019999999,"98 Christopher Columbus Drive,Jersey City,NJ",Brownstone Diner & Pancake Factory,Dunkin'
106,125,Jersey City,111 Town Square Place,,,Jersey City,NJ,62739.0,265932.0,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87,40.726242,-74.0331798,"111 Town Square Place,Jersey City,NJ",Starbucks,Dunkin' Donuts
107,126,"Jersey City, Exchange Place",15 Exchange Place,Suite 110,,Jersey City,NJ,62739.0,265932.0,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87,40.7160375,-74.03358089999999,"15 Exchange Place,Jersey City,NJ",Brownstone Diner & Pancake Factory,Dunkin'
108,127,Newport Mall,30 Mall Drive West,A-36,Newport Centre,Jersey City,NJ,62739.0,265932.0,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87,40.7273145,-74.0378613,"30 Mall Drive West,Jersey City,NJ",Brownstone Diner & Pancake Factory,Dunkin' Donuts
109,128,Target Jersey City T-1886,100 14th St,,,Jersey City,NJ,62739.0,265932.0,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87,40.7326867,-74.0362548,"100 14th St,Jersey City,NJ",Starbucks,Dunkin' Donuts
110,129,Acme - Kenilworth #1096,801 Kenilworth Blvd,,,Kenilworth,NJ,108281.0,8235.0,53.01,78.12,1.79,6.72,27.33,52.4,,46.6,21.55,40.6780468,-74.281517,"801 Kenilworth Blvd,Kenilworth,NJ",Cafe 401 & Grill,Dunkin' Donuts
111,130,"Lakewood, NJ",1865 Route 70,,Lakewood Hilton Gardens Project,Lakewood,NJ,45321.0,99467.0,49.64,91.16,3.28,1.01,16.0,29.08,,19.3,46.97,40.0558083,-74.16484679999999,"1865 Route 70,Lakewood,NJ",Starbucks,Dunkin' Donuts
112,131,Lawrenceville,2673 Main St,,,Lawrence,NJ,96529.0,33288.0,47.2,68.99,11.82,15.66,8.58,52.03,25.0,41.5,19.18,40.2979905,-74.72972899999999,"2673 Main St,Lawrence,NJ",Chambers Walk Cafe & Catering,
113,133,Mercer Mall,301 Mercer Mall,,,Lawrence,NJ,96529.0,33288.0,47.2,68.99,11.82,15.66,8.58,52.03,25.0,41.5,19.18,40.297751,-74.68184699999999,"301 Mercer Mall,Lawrence,NJ",Auntie Anne's,Dunkin' Donuts
114,135,Quaker Bridge,150 Quaker Bridge Mall RD,2026,Quaker Bridge Mall,Lawrence,NJ,96529.0,33288.0,47.2,68.99,11.82,15.66,8.58,52.03,25.0,41.5,19.18,40.2910878,-74.68151910000002,"150 Quaker Bridge Mall RD,Lawrence,NJ",Auntie Anne's,Dunkin' Donuts
115,137,Rider University/Student Rec Center,2083 Lawrenceville Rd,,,Lawrence,NJ,96529.0,33288.0,47.2,68.99,11.82,15.66,8.58,52.03,25.0,41.5,19.18,40.2797219,-74.7368159,"2083 Lawrenceville Rd,Lawrence,NJ",Starbucks,Dunkin' Donuts
116,139,Acme - Lincroft #7932,619 Newman Springs Road,,,Middletown,NJ,105035.0,65952.0,49.16,93.17,1.08,3.34,5.77,50.21,33.0,44.0,22.73,40.3321202,-74.1191327,"619 Newman Springs Road,Middletown,NJ",Dunkin' Donuts,Dunkin' Donuts
117,140,Linden,693 West Edgar Road,,Aviation Plaza at Linden,Linden,NJ,66538.0,42230.0,48.62,53.65,29.95,3.93,30.22,50.77,28.0,41.8,20.27,40.6195397,-74.2487627,"693 West Edgar Road,Linden,NJ",Starbucks,Dunkin' Donuts
118,141,"Rte 46 W, Little Ferry",300 Route 46 West,,,Little Ferry,NJ,61341.0,10942.0,49.77,63.16,2.74,26.21,27.34,54.13,,43.5,15.44,40.8445424,-74.0106272,"300 Route 46 West,Little Ferry,NJ",Tospia,Dunkin' Donuts
119,142,Livingston,1 West Mt. Pleasant Avenue,,,Livingston,NJ,153381.0,29955.0,49.45,72.36,1.65,22.44,4.02,47.39,31.0,47.7,25.14,40.7955908,-74.3156253,"1 West Mt. Pleasant Avenue,Livingston,NJ",Starbucks,Dunkin' Donuts
120,143,Madison,309 Main Street,,,Madison,NJ,127948.0,16080.0,46.97,84.98,4.12,6.73,9.64,48.33,,41.8,24.57,40.7490001,-74.39968309999999,"309 Main Street,Madison,NJ",Starbucks,Dunkin' Donuts
121,144,Acme - Mahwah #1058,125 Franklin Tpke,,,Mahwah,NJ,107215.0,26581.0,46.47,80.09,3.28,13.19,8.75,50.8,27.0,45.0,18.68,41.0992549,-74.14473219999999,"125 Franklin Tpke,Mahwah,NJ",Bon Appetit Tea House Inc,Dunkin' Donuts
122,145,Target Stafford Township T-2392,209 Stafford Park Blvd,,,Stafford,NJ,76527.0,27012.0,49.86,93.39,2.54,1.33,6.66,48.94,,45.9,20.51,39.7103823,-74.283928,"209 Stafford Park Blvd,Stafford,NJ",Dunkin' Donuts,Dunkin' Donuts
123,146,Route 9 Manalapan,310 Route 9 North,,,Manalapan,NJ,109326.0,40096.0,47.63,88.31,1.21,8.11,5.9,47.57,39.0,44.8,23.65,40.3084972,-74.3035941,"310 Route 9 North,Manalapan,NJ",Starbucks,Dunkin' Donuts
124,147,Margate NJ,8005 Ventnor Ave,,,Margate City,NJ,69896.0,6200.0,45.73,94.16,2.18,1.45,1.73,48.65,25.0,61.3,9.05,39.3300756,-74.4994861,"8005 Ventnor Ave,Margate City,NJ",Starbucks,Dunkin’ Donuts
125,148,Matawan,265 Main Street,,Main Street Village,Matawan,NJ,86149.0,8898.0,50.12,82.03,8.15,7.53,10.29,53.57,34.0,40.3,21.74,40.4092031,-74.23421069999999,"265 Main Street,Matawan,NJ",Starbucks,Dunkin' Donuts
126,149,Mays Landing Wrangleboro,760 Consumer Square,,Wrangleboro Consumer Center,Hamilton,NJ,73415.0,89206.0,47.35,76.41,13.88,4.79,14.89,52.41,24.0,45.4,19.43,39.450245,-74.63687700000001,"760 Consumer Square,Hamilton,NJ",McDonald's,Dunkin' Donuts
127,151,Medford,560 Stokes Road,,Ironstone Village Shoppes,Medford,NJ,113469.0,23353.0,49.07,91.84,2.15,2.45,3.41,49.96,,46.5,23.21,39.873393,-74.8132892,"560 Stokes Road,Medford,NJ",Old Nelson Food Company,Dunkin' Donuts
128,152,Rte 35-Middletown,2011 Route 35,,,Middletown,NJ,105035.0,65952.0,49.16,93.17,1.08,3.34,5.77,50.21,33.0,44.0,22.73,40.4106977,-74.13321739999999,"2011 Route 35,Middletown,NJ",Barnes & Noble,Dunkin' Donuts
129,153,Midland Park Shopping Center,85 Godwin Ave,,Midland Park Shopping Center,Midland Park,NJ,105313.0,7336.0,49.1,95.24,0.82,0.89,13.3,53.49,,43.2,23.81,40.9844468,-74.13927149999999,"85 Godwin Ave,Midland Park,NJ",Starbucks,Dunkin' Donuts
130,154,Millburn,343 Millburn Avenue,,,Millburn,NJ,202862.0,20387.0,49.7,71.59,3.1,20.93,4.43,44.87,37.0,44.1,32.55,40.7239844,-74.3074515,"343 Millburn Avenue,Millburn,NJ",Starbucks,Dunkin' Donuts
131,155,Joyce Kilmer Travel Plaza,"Milepost 78.7 NB, NJ Turnpike",,,Milltown,NJ,99704.0,7069.0,48.18,88.6,5.26,3.92,12.93,49.44,,43.5,23.03,40.416756,-74.443966,"Milepost 78.7 NB, NJ Turnpike,Milltown,NJ",Starbucks,
132,156,Target Millville T-2170,2116 N 2nd St,,,Millville,NJ,49950.0,28235.0,48.87,74.18,19.02,1.61,17.22,42.67,,43.2,24.97,39.421381,-75.04479769999999,"2116 N 2nd St,Millville,NJ",Starbucks,Dunkin' Donuts
133,157,Montclair - Church & South Park,40 South Park St,,The Siena,Montclair,NJ,113293.0,38572.0,46.78,65.08,24.7,3.3,9.85,51.48,35.0,40.4,25.59,40.8142721,-74.2201674,"40 South Park St,Montclair,NJ",QuickChek,Dunkin' Donuts
134,158,Upper Montclair,572 Valley Road,,,Montclair,NJ,113293.0,38572.0,46.78,65.08,24.7,3.3,9.85,51.48,35.0,40.4,25.59,40.8396949,-74.2080048,"572 Valley Road,Montclair,NJ",Starbucks,Dunkin' Donuts
135,159,NJ Montvale Travel Plaza.,Montvale Service Area mile 173 Garden St,,,Montvale,NJ,120060.0,8440.0,47.82,76.62,3.08,15.34,11.81,46.45,,46.3,23.85,41.04755189999999,-74.06679869999999,"Montvale Service Area mile 173 Garden St,Montvale,NJ",Panera Bread,Dunkin' Donuts
136,160,Moorestown Mall Kiosk,400 New Jersey 38,,,Moorestown,NJ,133902.0,20568.0,47.36,83.52,6.31,7.22,2.12,49.16,26.0,45.3,24.57,39.9445509,-74.9631586,"400 New Jersey 38,Moorestown,NJ",Barnes & Noble,Dunkin' Donuts
137,161,Moorestown-Wright's Hardware,41 East Main Street,,,Moorestown,NJ,133902.0,20568.0,47.36,83.52,6.31,7.22,2.12,49.16,26.0,45.3,24.57,39.9647864,-74.9451484,"41 East Main Street,Moorestown,NJ",Starbucks,
138,162,"Rte 9, Marlboro",67 Route 9 South,,,Matawan,NJ,86149.0,8898.0,50.12,82.03,8.15,7.53,10.29,53.57,34.0,40.3,21.74,40.3539378,-74.30787959999999,"67 Route 9 South,Matawan,NJ",Starbucks,Dunkin' Donuts
139,163,Stop & Shop-Morris Plains # 893,245 Littleton Road,,,Morris Plains,NJ,125229.0,5605.0,51.19,91.88,2.16,4.71,9.1,54.75,,43.6,21.12,40.8421439,-74.4633703,"245 Littleton Road,Morris Plains,NJ",Barnes & Noble,Dunkin' Donuts
140,164,Morristown Medical Ctr - Main Locat,100 Madison Ave,,,Morristown,NJ,92296.0,18833.0,50.8,73.14,9.09,6.09,32.7,64.46,,36.0,16.78,40.7896261,-74.4655683,"100 Madison Ave,Morristown,NJ",Starbucks,Dunkin' Donuts
141,165,"Morristown, Park Place",40 Park Place,,,Morristown,NJ,92296.0,18833.0,50.8,73.14,9.09,6.09,32.7,64.46,,36.0,16.78,40.7961996,-74.4816409,"40 Park Place,Morristown,NJ",Starbucks,Dunkin' Donuts
142,166,Mount Laurel Centerton Square,10 Centerton Road,Suite D,Centerton Square Shopping Center,Mount Laurel,NJ,92826.0,41795.0,47.3,77.84,8.81,8.97,4.44,52.55,28.0,46.0,21.0,39.969931,-74.9140305,"10 Centerton Road,Mount Laurel,NJ",Panera Bread,Dunkin' Donuts
143,167,NJ James Cooper Travel Plaza,5 Hartford Rd,,,Mount Laurel,NJ,92826.0,41795.0,47.3,77.84,8.81,8.97,4.44,52.55,28.0,46.0,21.0,39.9775095,-74.8954146,"5 Hartford Rd,Mount Laurel,NJ",Starbucks,Dunkin' Donuts
144,168,Route 73 & Fellowship Road,550 Fellowship Road,,,Mount Laurel,NJ,92826.0,41795.0,47.3,77.84,8.81,8.97,4.44,52.55,28.0,46.0,21.0,39.9323807,-74.9592126,"550 Fellowship Road,Mount Laurel,NJ",Barnes & Noble,Dunkin' Donuts
145,169,Target Mount Laurel T-1917,4 Centerton Rd,,,Mount Laurel,NJ,92826.0,41795.0,47.3,77.84,8.81,8.97,4.44,52.55,28.0,46.0,21.0,39.9676245,-74.9147038,"4 Centerton Rd,Mount Laurel,NJ",Panera Bread,Dunkin' Donuts
146,170,Rt. 66 & S. Seaview Square Drive,2301 Rt 66,,,Neptune,NJ,67836.0,27728.0,48.92,54.36,35.22,2.92,8.59,50.83,,51.0,17.87,40.2285295,-74.0445289,"2301 Rt 66,Neptune,NJ",Dunkin' Donuts,Dunkin' Donuts
147,171,New Brunswick,391 George Street,,Kilmer Square,New Brunswick,NJ,38413.0,56792.0,48.89,66.19,13.96,9.74,52.99,38.66,25.0,23.4,23.59,40.4962516,-74.4439921,"391 George Street,New Brunswick,NJ",Harvest Moon Brewery & Cafe,Dunkin'
148,172,Rutgers University-The Yard,38 Colllege Ave.,,,New Brunswick,NJ,38413.0,56792.0,48.89,66.19,13.96,9.74,52.99,38.66,25.0,23.4,23.59,40.4992123,-74.4483723,"38 Colllege Ave.,New Brunswick,NJ",Harvest Moon Brewery & Cafe,Dunkin'
149,173,New Providence Village Center,1260 Springfield Avenue,,,New Providence,NJ,129638.0,12716.0,48.76,82.42,0.94,12.86,7.77,47.42,,41.8,27.37,40.70528119999999,-74.4045855,"1260 Springfield Avenue,New Providence,NJ",Noah's Bagels,Dunkin' Donuts
150,174,"EWR - Newark Concourse C, Space 86","Terminal C, Space 86",,,Newark,NJ,34826.0,282803.0,49.41,25.29,50.12,1.75,36.38,41.06,34.0,36.0,24.79,40.693811,-74.172319,"Terminal C, Space 86,Newark,NJ",Jake's Coffee House,Dunkin' Donuts
151,175,"EWR - Newark Term C, Space B-50","Terminal C, Space B-50",,,Newark,NJ,34826.0,282803.0,49.41,25.29,50.12,1.75,36.38,41.06,34.0,36.0,24.79,40.6956658,-74.1773002,"Terminal C, Space B-50,Newark,NJ",Jake's Coffee House,Dunkin' Donuts
152,176,Rutgers U/Newark Robeson Stdnt Ctr,350 Martin Luther King Blvd,,,Newark,NJ,34826.0,282803.0,49.41,25.29,50.12,1.75,36.38,41.06,34.0,36.0,24.79,40.7420724,-74.1761532,"350 Martin Luther King Blvd,Newark,NJ",Dunkin' Donuts,Dunkin' Donuts
153,177,Shoppes on Broad,Broad Street,,,Newark,NJ,34826.0,282803.0,49.41,25.29,50.12,1.75,36.38,41.06,34.0,36.0,24.79,40.738291,-74.1706767,"Broad Street,Newark,NJ",Dunkin' Donuts,Dunkin' Donuts
154,178,"North Bergen, River Rd.",7301 River Rd.,,,North Bergen,NJ,57269.0,63438.0,49.71,69.53,3.32,6.91,73.12,51.73,32.0,40.0,21.26,40.7926952,-73.998498,"7301 River Rd.,North Bergen,NJ",Boat Basin Cafe,Dunkin' Donuts
155,179,Target North Bergen Commons T-1865,7101 Tonnelle Ave,,,North Bergen,NJ,57269.0,63438.0,49.71,69.53,3.32,6.91,73.12,51.73,32.0,40.0,21.26,40.801539,-74.022117,"7101 Tonnelle Ave,North Bergen,NJ",Dunkin' Donuts,Dunkin' Donuts
156,180,"North Brunswick, NJ",522 Shoppes Boulevard,,Shoppes at North Brunswick,North Brunswick,NJ,88723.0,42591.0,48.45,50.62,18.78,24.96,19.47,50.31,32.0,37.7,21.92,40.4614818,-74.45726119999999,"522 Shoppes Boulevard,North Brunswick,NJ",Panera Bread,Dunkin' Donuts
157,181,Target North Brunswick T-2853,101 Grand Ave,,,North Brunswick,NJ,88723.0,42591.0,48.45,50.62,18.78,24.96,19.47,50.31,32.0,37.7,21.92,40.43536539999999,-74.5043963,"101 Grand Ave,North Brunswick,NJ",Dunkin' Donuts,Dunkin' Donuts
158,182,"Northvale, NJ",271B Livingston St.,,Daibes Square at Northvale,Northvale,NJ,92650.0,4872.0,50.47,68.72,2.16,26.09,9.85,52.26,,46.0,22.72,41.015424,-73.946192,"271B Livingston St.,Northvale,NJ",Dunkin' Donuts,Dunkin' Donuts
159,183,Nutley,483 Franklin Avenue,,,Nutley,NJ,93691.0,28829.0,47.28,79.8,2.98,11.55,15.74,53.2,30.0,42.9,20.59,40.8231942,-74.1561315,"483 Franklin Avenue,Nutley,NJ",Starbucks,Dunkin' Donuts
160,184,Route 35 - Oakhurst,2100 Highway 35,,,Ocean,NJ,67288.0,8838.0,50.36,97.64,0.5,0.45,2.43,40.18,,56.0,13.82,40.2648139,-74.0425431,"2100 Highway 35,Ocean,NJ",Grossman's Deli & Grill,Dunkin' Donuts
161,186,Oakland,411 Rampo Valley Rd,,,Oakland,NJ,112944.0,13145.0,49.17,91.0,2.25,5.58,6.97,54.21,26.0,42.9,24.75,41.0269674,-74.239965,"411 Rampo Valley Rd,Oakland,NJ",Starbucks,Dunkin' Donuts
162,187,"Ocean City, NJ - Asbury Ave.",1061 Asbury Ave,,,Ocean City,NJ,72715.0,11328.0,46.23,90.8,2.61,1.83,8.14,43.79,,56.0,19.14,39.2766161,-74.578846,"1061 Asbury Ave,Ocean City,NJ",Positively 4th Street,Dunkin'
163,188,Acme - Old Bridge #2827,3500 US-9,,,Old Bridge,NJ,88540.0,66880.0,48.57,75.13,6.98,13.7,13.52,54.6,34.0,43.4,20.24,40.3826979,-74.30943789999999,"3500 US-9,Old Bridge,NJ",Cafe Luna,Dunkin' Donuts
164,189,Old Tappan,216 Old Tappan Road,,,Old Tappan,NJ,141185.0,5999.0,48.84,73.78,0.72,22.15,4.58,46.72,,49.1,23.35,41.0137933,-73.9837871,"216 Old Tappan Road,Old Tappan,NJ",Starbucks,
165,190,Garden State Plaza - Lower level,1 Garden State Plaza,Space #9145,,Paramus,NJ,105114.0,26919.0,49.34,65.63,3.17,28.29,9.45,45.76,29.0,50.5,19.46,40.9181658,-74.0762757,"1 Garden State Plaza,Paramus,NJ",Panera Bread,Dunkin' Donuts
166,191,Rt 17 South Paramus,177 Route 17 South,,,Paramus,NJ,105114.0,26919.0,49.34,65.63,3.17,28.29,9.45,45.76,29.0,50.5,19.46,40.9329712,-74.0712736,"177 Route 17 South,Paramus,NJ",Starbucks,Dunkin' Donuts
167,192,Rt. 4 - Paramus,65 Route 4 West,,,Paramus,NJ,105114.0,26919.0,49.34,65.63,3.17,28.29,9.45,45.76,29.0,50.5,19.46,40.9198498,-74.06606409999999,"65 Route 4 West,Paramus,NJ",Panera Bread,Dunkin' Donuts
168,193,Rte 17N - Paramus,370 Route 17 N,,The Container Store Project,Paramus,NJ,105114.0,26919.0,49.34,65.63,3.17,28.29,9.45,45.76,29.0,50.5,19.46,40.9459839,-74.07104410000001,"370 Route 17 N,Paramus,NJ",Auntie Anne's,Dunkin' Donuts
169,194,Target Paramus T-2381,900 Bergen Town Center,,,Paramus,NJ,105114.0,26919.0,49.34,65.63,3.17,28.29,9.45,45.76,29.0,50.5,19.46,40.9163353,-74.06111469999999,"900 Bergen Town Center,Paramus,NJ",Panera Bread,Dunkin' Donuts
170,195,Park Ridge,191 Kinderkamack Road,,,Park Ridge,NJ,106875.0,8905.0,50.22,91.16,1.92,2.04,17.5,49.62,,46.6,23.14,41.0360984,-74.030368,"191 Kinderkamack Road,Park Ridge,NJ",Dunkin' Donuts,Dunkin' Donuts
171,196,Hopewell,800 A Denow Road,,,Pennington,NJ,121667.0,2591.0,46.82,92.36,2.2,1.81,3.55,48.75,,47.1,22.5,40.3008751,-74.7820703,"800 A Denow Road,Pennington,NJ",Starbucks,
172,197,John Fenwick Travel Plaza,"Milepost 5.4 NB, NJ Turnpike",,,Penns Grove,NJ,37188.0,4917.0,52.8,48.67,35.65,1.28,36.85,37.81,19.0,32.8,27.6,39.695576,-75.3963,"Milepost 5.4 NB, NJ Turnpike,Penns Grove,NJ",Starbucks,
173,198,NJ Clara Barton TP,NJTP Mile Marker 5.4 Southbound,,,Penns Grove,NJ,37188.0,4917.0,52.8,48.67,35.65,1.28,36.85,37.81,19.0,32.8,27.6,40.1764357,-74.6316598,"NJTP Mile Marker 5.4 Southbound,Penns Grove,NJ",Starbucks,Dunkin' Donuts
174,199,Phillipsburg,1198 US Highway 22,,,Phillipsburg,NJ,49274.0,14540.0,48.5,80.13,11.2,1.38,13.33,48.24,,44.8,21.8,40.68532099999999,-75.1516655,"1198 US Highway 22,Phillipsburg,NJ",Panera Bread,Dunkin' Donuts
175,200,Stop & Shop - Phillipsburg #816,1278 US Hwy 22,,,Phillipsburg,NJ,49274.0,14540.0,48.5,80.13,11.2,1.38,13.33,48.24,,44.8,21.8,40.6782902,-75.14753429999999,"1278 US Hwy 22,Phillipsburg,NJ",Panera Bread,Dunkin' Donuts
176,201,Target Phillipsburg T-1464,1204 New Brunswick Ave,,,Phillipsburg,NJ,49274.0,14540.0,48.5,80.13,11.2,1.38,13.33,48.24,,44.8,21.8,40.67416679999999,-75.1342889,"1204 New Brunswick Ave,Phillipsburg,NJ",Starbucks,Dunkin' Donuts
177,202,Piscataway,1364 Centennial Way,,Centennial Plaza,Piscataway,NJ,89617.0,57695.0,50.35,36.28,19.84,38.03,11.34,44.51,30.0,33.4,16.81,40.551276,-74.43646460000001,"1364 Centennial Way,Piscataway,NJ",McDonald's,Dunkin' Donuts
178,203,Rutgers University Truck,110 Ethel Rd West,Suite B,,Piscataway,NJ,89617.0,57695.0,50.35,36.28,19.84,38.03,11.34,44.51,30.0,33.4,16.81,40.531627,-74.4288387,"110 Ethel Rd West,Piscataway,NJ",Dunkin' Donuts,Dunkin' Donuts
179,204,Rutgers University-Plaza at Livings,105 Joyce Kilmer Ave,#30,,Piscataway,NJ,89617.0,57695.0,50.35,36.28,19.84,38.03,11.34,44.51,30.0,33.4,16.81,40.5254276,-74.43759779999999,"105 Joyce Kilmer Ave,Piscataway,NJ",Dunkin' Donuts,Dunkin' Donuts
180,205,Absecon Travel Plaza - NJ Turnpike,Garden State Pkwy Mile Marker 41.3,,,Galloway,NJ,65000.0,37029.0,47.4,69.51,11.6,11.46,11.48,49.32,,40.6,19.28,39.471046,-74.52878,"Garden State Pkwy Mile Marker 41.3,Galloway,NJ",Starbucks,
181,206,Pompton Lakes,45 Wanaque Avenue,,Pompton Lakes Town Square,Pompton Lakes,NJ,92952.0,11205.0,49.64,87.68,1.32,5.55,16.94,58.47,,42.1,19.34,41.00777679999999,-74.29286859999999,"45 Wanaque Avenue,Pompton Lakes,NJ",Starbucks,Dunkin' Donuts
182,207,Princeton,100 Nassau Street,,,Princeton,NJ,,,,,,,,,,,,40.3500137,-74.6595074,"100 Nassau Street,Princeton,NJ",Panera Bread,Dunkin'
183,208,Princeton Market Fair,3535 Rt. 1 Ste. 426,,Princeton Market Fair,Princeton,NJ,,,,,,,,,,,,40.3150399,-74.6604222,"3535 Rt. 1 Ste. 426,Princeton,NJ",Starbucks,
184,209,Franklin Square - Ramsey,561 North Franklin Turnpike,,Franklin Square,Ramsey,NJ,137768.0,15121.0,49.07,89.02,0.13,10.18,5.59,53.36,,46.6,24.31,41.0761145,-74.13892899999999,"561 North Franklin Turnpike,Ramsey,NJ",Panera Bread,Dunkin' Donuts
185,210,Ramsey Train Station,8 West Main Street,,,Ramsey,NJ,137768.0,15121.0,49.07,89.02,0.13,10.18,5.59,53.36,,46.6,24.31,41.0571297,-74.1439833,"8 West Main Street,Ramsey,NJ",Café Panache,Dunkin' Donuts
186,211,Red Bank,4-6 White Street,,,Red Bank,NJ,75114.0,12220.0,48.8,61.73,13.4,2.25,36.66,58.17,27.0,41.8,20.81,40.3507392,-74.0657001,"4-6 White Street,Red Bank,NJ",West Side Eatery,Dunkin' Donuts
187,212,Northeast Ridgewood,363 RT 17 South,,,Ridgewood,NJ,162011.0,25554.0,48.29,79.72,1.66,14.75,7.76,45.12,34.0,41.8,30.37,40.9814572,-74.0867614,"363 RT 17 South,Ridgewood,NJ",Barnes & Noble,Dunkin' Donuts
188,213,Ridgewood Downtown,193 E Ridgewood Ave,,,Ridgewood,NJ,162011.0,25554.0,48.29,79.72,1.66,14.75,7.76,45.12,34.0,41.8,30.37,40.9792442,-74.11547689999999,"193 E Ridgewood Ave,Ridgewood,NJ",Starbucks,Dunkin' Donuts
189,214,Rio Grande,3301 Route 9 South,Unit T-1A,Rio Grande Shopping Center,Middle,NJ,62249.0,18623.0,48.91,83.17,11.83,1.34,5.99,45.51,21.0,46.1,19.26,39.0170498,-74.8741654,"3301 Route 9 South,Middle,NJ",Green Street Market,Dunkin' Donuts
190,215,Target Riverdale - T2247,94 SR-23,,,Riverdale,NJ,100602.0,4238.0,47.45,91.86,0.0,4.58,10.5,60.67,,41.2,17.7,40.99008389999999,-74.3248371,"94 SR-23,Riverdale,NJ",Dunkin' Donuts,Dunkin' Donuts
191,216,Target Delran T-2104,4000 Route 130,,,Riverside,NJ,60885.0,7969.0,53.08,77.6,13.58,1.56,11.96,54.51,,42.5,20.81,40.0109939,-74.96079379999999,"4000 Route 130,Riverside,NJ",Panera Bread,Dunkin' Donuts
192,217,Rockaway Townsquare Mall,301 Mt. Hope Avenue,,Rockaway Townsquare Mall,Rockaway,NJ,106599.0,24758.0,48.49,85.39,3.97,6.43,11.95,54.1,,45.1,20.72,40.9075589,-74.5539579,"301 Mt. Hope Avenue,Rockaway,NJ",Auntie Anne's,Dunkin' Donuts
193,219,"Rockaway, Ring Road",395 Mount Hope Avenue,300,,Rockaway,NJ,106599.0,24758.0,48.49,85.39,3.97,6.43,11.95,54.1,,45.1,20.72,40.9070298,-74.5480619,"395 Mount Hope Avenue,Rockaway,NJ",Auntie Anne's,Dunkin' Donuts
194,221,Target Rockaway T-1864,381 Mt. Hope Ave,,,Rockaway,NJ,106599.0,24758.0,48.49,85.39,3.97,6.43,11.95,54.1,,45.1,20.72,40.9060159,-74.5600592,"381 Mt. Hope Ave,Rockaway,NJ",Auntie Anne's,Dunkin' Donuts
195,223,Roseland,43 Eisenhower Parkway,,Eagle Rock Plaza,Roseland,NJ,110208.0,5907.0,46.81,85.29,0.0,10.16,7.33,51.18,,50.4,20.03,40.8214943,-74.32802219999999,"43 Eisenhower Parkway,Roseland,NJ",Starbucks,Dunkin' Donuts
196,224,96 Meadow Road,96 Meadow Road,,,Rutherford,NJ,93787.0,18622.0,48.16,74.28,2.28,17.54,16.8,52.27,31.0,43.6,20.56,40.8227653,-74.1007109,"96 Meadow Road,Rutherford,NJ",Mambo Tea House,Dunkin' Donuts
197,225,Sea Girt,2150 Highway 35,#E-18,Brook 35 Plaza,Sea Girt,NJ,126667.0,1714.0,50.29,99.77,0.18,0.06,2.39,39.67,,58.8,14.18,40.1380271,-74.0616819,"2150 Highway 35,Sea Girt,NJ",Dunkin' Donuts,Dunkin' Donuts
