,index,Name,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%),Latitude,Longitude,target search add,Cafe within 1 mile,Is Dunkin within 1 mile radius
56,61,Hilton Meadowlands,2 Meadowlands Plaza,,,East Rutherford,NJ,77400.0,9433.0,48.49,68.72,4.7,19.43,20.65,53.04,27.0,39.0,18.46,40.8051486,-74.0787538,"2 Meadowlands Plaza,East Rutherford,NJ",Starbucks,Dunkin' Donuts
57,62,Eatontown,178 Route 35,,,Eatontown,NJ,66470.0,12258.0,47.75,73.87,10.72,8.34,13.57,52.91,22.0,46.2,19.0,40.29152819999999,-74.0535875,"178 Route 35,Eatontown,NJ",Barnes & Noble,Dunkin' Donuts
58,63,Edgewater,457 River Road,,Edgewater Commons,Edgewater,NJ,103505.0,12165.0,45.45,55.36,5.18,35.66,13.54,52.58,37.0,42.2,20.48,40.813139,-73.9846788,"457 River Road,Edgewater,NJ",Starbucks,Dunkin' Donuts
59,64,Target Edgewater T-1263,543 River Rd,,,Edgewater,NJ,103505.0,12165.0,45.45,55.36,5.18,35.66,13.54,52.58,37.0,42.2,20.48,40.81413810000001,-73.9830259,"543 River Rd,Edgewater,NJ",Starbucks,Dunkin' Donuts
60,65,Edison,1-11 Lincoln Highway,,Colonial Village,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24,40.5594467,-74.3400978,"1-11 Lincoln Highway,Edison,NJ",Auntie Anne's,Dunkin' Donuts
61,66,Macy's-Menlo Park #8,275 Menlo Park Mall,,,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24,40.5475279,-74.3357654,"275 Menlo Park Mall,Edison,NJ",Auntie Anne's,Dunkin' Donuts
62,67,Menlo Park Mall,100 Menol Park Dr.,,Menlo Park Mall,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24,40.5474822,-74.33577269999999,"100 Menol Park Dr.,Edison,NJ",Auntie Anne's,Dunkin' Donuts
63,68,Sheraton Edison,125 Raritan Center Pkwy,,,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24,40.5193292,-74.3408765,"125 Raritan Center Pkwy,Edison,NJ",King George Cafe,Dunkin' Donuts
64,69,Target Edison T-1055,100 Parsonage Rd,,,Edison,NJ,95622.0,102304.0,48.83,36.35,7.13,49.02,9.58,50.14,34.0,50.2,22.24,40.5520186,-74.3321696,"100 Parsonage Rd,Edison,NJ",Auntie Anne's,Dunkin' Donuts
65,70,Jersey Gardens Mall,651 Kapkowski Road,1456,Jersey Gardens,Elizabeth,NJ,45186.0,129363.0,49.8,46.63,19.16,1.79,64.11,48.2,25.0,37.3,26.2,40.6601883,-74.1713372,"651 Kapkowski Road,Elizabeth,NJ",Starbucks,Dunkin' Donuts
