Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population
Ramsey Train Station,41.06,-74.14,8 West Main Street,,,Ramsey,NJ,137768,15121
Red Bank,40.35,-74.07,4-6 White Street,,,Red Bank,NJ,75114,12220
Northeast Ridgewood,40.98,-74.09,363 RT 17 South,,,Ridgewood,NJ,162011,25554
Ridgewood Downtown,40.98,-74.12,193 E Ridgewood Ave,,,Ridgewood,NJ,162011,25554
Rio Grande,39.02,-74.87,3301 Route 9 South,Unit T-1A,Rio Grande Shopping Center,Rio Grande,NJ,,
Target Riverdale - T2247,40.99,-74.31,94 SR-23,,,Riverdale,NJ,100602,4238
Target Delran T-2104,40.01,-74.96,4000 Route 130,,,Riverside,NJ,60885,7969
Rockaway Townsquare Mall,40.91,-74.55,301 Mt. Hope Avenue,,Rockaway Townsquare Mall,Rockaway,NJ,106599,24758
"Rockaway, Ring Road",40.91,-74.56,395 Mount Hope Avenue,300,,Rockaway,NJ,106599,24758
Target Rockaway T-1864,40.91,-74.56,381 Mt. Hope Ave,,,Rockaway,NJ,106599,24758
Roseland,40.82,-74.33,43 Eisenhower Parkway,,Eagle Rock Plaza,Roseland,NJ,110208,5907
96 Meadow Road,40.82,-74.1,96 Meadow Road,,,Rutherford,NJ,93787,18622
Sea Girt,40.14,-74.06,2150 Highway 35,#E-18,Brook 35 Plaza,Sea Girt,NJ,126667,1714
NJ Alexander Hamilton Travel Plaza,40.78,-74.06,"NJ Turnpike, Milemarker 111.6 S",,,Secaucus,NJ,99883,19279
"Secaucus, Harmon Meadow",40.79,-74.05,700 Plaza Drive,,The Plaza at the Meadows,Secaucus,NJ,99883,19279
Sewell Washington Center,39.75,-75.08,304 Greentree Road,,Washington Center,Sewell,NJ,,
Target Mantua T-2384,39.77,-75.13,675 Woodbury Glassboro Rd,,,Sewell,NJ,,
The Mall at Short Hills,40.74,-74.36,1200 Morris Turnpike,,The Mall at Short Hills,Shorthills,NJ,,
Shrewsbury,40.33,-74.06,551 Route 35,,The Grove,Shrewsbury,NJ,122321,4051
"Sicklerville, NJ",39.74,-75.01,611 Berlin Cross Keys Rd.,,,Sicklerville,NJ,,
Target Gloucester T-2181,39.75,-74.99,1615 Berlin Cross Keys Rd,,,Sicklerville,NJ,,
Somers Point,39.33,-74.6,55 Bethel Road,,Ocean Heights Plaza,Somers Point,NJ,52397,10644
Somerset,40.52,-74.52,120 Cedar Grove Lane,,Cedar Grove Shopping Center,Somerset,NJ,,
Somerville Town Ctr.,40.57,-74.62,"145 W. Main St, unit A-1",Unit A1,,Somerville,NJ,72731,12234
Cheesequake Travel Plaza,40.47,-74.29,Garden State Parkway Mile Post 124,PO Box 307,,South Amboy,NJ,65074,8811
"Sayreville, NJ",40.46,-74.3,957 Route 9 N,,,South Amboy,NJ,65074,8811
Target South Brunswick NJ T-2256,40.38,-74.57,4190 Rt 1 N,,,South Brunswick,NJ,113815,45602
South Orange,40.75,-74.26,11 Sloan Street,,,South Orange,NJ,,
Target South Plainfield T-1929,40.55,-74.43,5000 Hadley Center Dr,,,South Plainfield,NJ,91889,24154
Acme - Wall Township #780,40.15,-74.06,2007 Route 35,,,Spring Lake,NJ,88679,2980
Summit,40.72,-74.36,2 Beechwood Road,,,Summit,NJ,132443,22155
Jersey Shore Premium Outlets,40.22,-74.09,1 Premium Outlet Blvd.,,,Tinton Falls,NJ,79206,17902
Ocean County Mall,39.98,-74.18,1201 HOOPER AVE,1072,Ocean County Mall,Toms River,NJ,76051,91415
Stop & Shop-Toms River #811,39.95,-74.16,353 Route 37 East,,,Toms River,NJ,76051,91415
Toms River Route 9,40.05,-74.22,2360 Lakewood Rd,,,Toms River,NJ,76051,91415
Richard Stockton Travel Plaza,40.18,-74.64,200 Uncle Petes Rd,,,Trenton,NJ,35524,84867
5340 Route 42 Turnersville,39.76,-75.05,5340 Route 42,,,Turnersville,NJ,,
Target Turnersville T-1132,39.73,-75.04,4001 Black Horse Pike,,,Turnersville,NJ,,
Kean University-Thompson Library,40.68,-74.24,1000 Morris Ave,,,Union,NJ,79324,58499
Rt. 22 - Center Island,40.69,-74.31,2698 Route 22 East,,,Union,NJ,79324,58499
Target Union T-2141,40.72,-74.29,2235 Springfield Ave,,,Union,NJ,79324,58499
Acme - Vernon #2820,41.19,-74.49,530 CR-515,,,Vernon,NJ,90805,22572
Vineland Cumberland Mall,39.43,-75.04,3849 S. Delsea Road,Space #A0013,Cumberland Mall,Vineland,NJ,51113,60824
"Cedar Hill Shopping Center,Voorhees",39.84,-74.93,148 Route 73,,Cedar Hill Shopping Center,Voorhees,NJ,85199,29386
Warren,40.62,-74.49,4 Mount Bethel Rd,,,Warren,NJ,154647,15998
Target Watchung,40.64,-74.41,1515 US Highway 22,,,Watchung,NJ,121678,5961
Berdan Ave & Hamburg Turnpike,40.96,-74.24,1118 Hamburg Turnpike,,,Wayne,NJ,108092,55154
Macy's - Willowbrook,40.89,-74.26,1100 Willowbrook Blvd,,Willowbrook Mall,Wayne,NJ,108092,55154
Paterson-Hamburg Tpke - Wayne,40.94,-74.2,183 Hamburg Turnpike,,,Wayne,NJ,108092,55154
Wayne Rt. 23,40.95,-74.27,1606 Route 23 North,,,Wayne,NJ,108092,55154
Wayne West Belt Plaza,40.89,-74.25,57 state route 23,,,Wayne,NJ,108092,55154
Willowbrook Mall Food Court,40.89,-74.26,1400 Willowbrook Mall,,Willowbrook Mall,Wayne,NJ,108092,55154
West Caldwell,40.85,-74.3,546 Passaic Ave.,,,West Caldwell,NJ,105931,10932
West New York,40.78,-74.01,55-1 Riverwalk Place,,,West New York,NJ,50477,53345
Westfield,40.65,-74.35,117 Central Avenue,,,Westfield,NJ,159923,30591
Westwood Avenue,40.99,-74.03,102 Westwood Avenue,104,Meisel Building,Westwood,NJ,95685,11246
NJ Grover Cleveland Travel Plaza,40.56,-74.26,Mile Marker 92.9,,,Woodbridge,NJ,83266,101639
Thomas Edison Travel Plza,40.56,-74.27,"New Jersey Turnpike, Mile Post 92.9 S",,,Woodbridge,NJ,83266,101639
Woodbridge Mall,40.56,-74.3,250 Woodbridge Center Drive,,Woodbridge Center,Woodbridge,NJ,83266,101639
Acme - Woodcliff Lake #1069,41.04,-74.07,520 Chestnut Ridge Rd,,,Woodcliff Lake,NJ,161250,5868
Wyckoff,41.01,-74.17,325 Franklin Avenue,,,Wyckoff,NJ,147463,17231
Woodrow Wilson Travel Plaza - N6,40.18,-74.63,"Mile post 57.8-North, NJ Turnpike",,,Yardville,NJ,,
