,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
96,Freehold,40.21,-74.26,621 U.S Highway 9,,,Freehold,NJ,57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
97,Freehold (B&N),40.26,-74.29,3981 US Highway 9,,,Freehold,NJ,99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
98,Freehold (B&N),40.26,-74.29,3981 US Highway 9,,,Freehold,NJ,57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
99,Freehold Raceway Mall,40.25,-74.3,3710 Route 9,,Freehold Raceway Mall,Freehold,NJ,99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
100,Freehold Raceway Mall,40.25,-74.3,3710 Route 9,,Freehold Raceway Mall,Freehold,NJ,57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
101,Route 537 Freehold,40.24,-74.31,11 Village Center Drive,,,Freehold,NJ,99827.0,35429.0,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
102,Route 537 Freehold,40.24,-74.31,11 Village Center Drive,,,Freehold,NJ,57717.0,11938.0,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
103,Galloway Township,39.48,-74.54,68 W. Jimmie Leeds Rd,B1,,Galloway,NJ,65000.0,37029.0,47.4,69.51,11.6,11.46,11.48,49.32,,40.6,19.28
104,Gillette,40.67,-74.48,977 Valley Road,,Valley Mall Shopping Center,Long Hill,NJ,133269.0,8763.0,49.18,92.72,0.78,4.84,4.28,53.41,,46.1,21.1
105,Glen Ridge,40.8,-74.2,710 Bloomfield Ave.,,,Glen Ridge,NJ,196821.0,7668.0,47.95,82.26,7.37,5.75,11.2,48.54,,43.1,32.42
106,Glen Rock,40.96,-74.13,224 Rock Road,,,Glen Rock,NJ,162443.0,11962.0,49.82,84.66,0.85,11.03,7.05,47.91,,42.3,28.52
107,"Green Brook, NJ",40.59,-74.5,287 Route 22,,,Green Brook,NJ,136094.0,7210.0,48.02,69.02,5.85,24.62,11.79,56.52,,48.0,21.83
108,Hackensack,40.88,-74.06,360 Essex Street,,Sanzari Medical Arts Building,Hackensack,NJ,59277.0,44673.0,48.87,45.83,25.25,10.46,38.15,53.29,30.0,43.4,18.41
109,Target Hackensack T-1330,40.9,-74.04,630 Main St,,,Hackensack,NJ,59277.0,44673.0,48.87,45.83,25.25,10.46,38.15,53.29,30.0,43.4,18.41
110,"Hackettstown, NJ",40.82,-74.84,1885 Route 57,,,Hackettstown,NJ,63940.0,9569.0,49.49,84.66,3.23,3.62,20.82,51.49,,38.5,21.47
111,Target Washington Township T-2446,40.85,-74.81,68 US Highway 46 W,,,Hackettstown,NJ,63940.0,9569.0,49.49,84.66,3.23,3.62,20.82,51.49,,38.5,21.47
112,Haddonfield,39.9,-75.03,214-216 Kings Highway,,,Haddonfield,NJ,138920.0,11428.0,49.74,94.25,1.1,2.07,3.81,47.79,26.0,43.6,28.08
