,City,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
287,Glen Rock,162443,11962,49.82,84.66,0.85,11.03,7.05,47.91,,42.3,28.52
288,Lyndhurst,73218,21937,50.96,85.78,1.18,8.0,22.71,50.56,,44.2,17.14
289,Moonachie,59700,2783,47.5,68.77,0.0,8.23,30.36,50.49,25.0,48.3,22.49
290,Paramus,105114,26919,49.34,65.63,3.17,28.29,9.45,45.76,29.0,50.5,19.46
291,Park Ridge,106875,8905,50.22,91.16,1.92,2.04,17.5,49.62,,46.6,23.14
292,River Edge,123590,11648,49.06,71.16,1.01,22.47,11.26,53.9,32.0,44.0,24.17
293,Rutherford,93787,18622,48.16,74.28,2.28,17.54,16.8,52.27,31.0,43.6,20.56
294,Tenafly,153906,14882,49.14,67.05,2.3,25.97,10.97,43.8,39.0,43.3,31.03
295,Mahwah,107215,26581,46.47,80.09,3.28,13.19,8.75,50.8,27.0,45.0,18.68
296,Oakland,112944,13145,49.17,91.0,2.25,5.58,6.97,54.21,26.0,42.9,24.75
297,South Hackensack,65156,2743,50.67,70.54,7.11,3.43,43.57,50.64,23.0,43.5,20.63
298,Teterboro,-666666666,108,50.0,92.59,0.0,0.0,37.04,41.67,,46.6,11.11
299,Westwood,95685,11246,46.51,78.53,6.89,8.8,16.57,52.86,,43.4,22.88
300,Woodcliff Lake,161250,5868,47.67,89.83,2.66,6.51,1.57,49.54,,46.3,24.4
301,Alpine,118977,1481,45.64,59.62,8.98,28.63,6.41,43.69,,56.5,19.58
302,Demarest,149271,5031,49.45,63.72,0.28,32.56,7.89,45.06,,50.0,26.04
303,Hackensack,59277,44673,48.87,45.83,25.25,10.46,38.15,53.29,30.0,43.4,18.41
304,Harrington Park,127188,4819,48.47,78.21,0.66,18.72,7.37,47.56,,44.7,27.79
305,Hillsdale,124844,10520,48.96,86.7,1.63,8.43,8.9,50.65,31.0,45.6,25.04
306,Leonia,89744,9191,45.74,48.66,2.81,40.99,16.94,49.1,,52.5,22.32
307,Lodi,57188,24805,49.25,71.95,7.58,11.52,36.05,50.3,25.0,39.2,20.23
308,Norwood,125417,5864,45.41,67.56,0.85,28.24,8.37,49.83,,51.7,20.04
309,Old Tappan,141185,5999,48.84,73.78,0.72,22.15,4.58,46.72,,49.1,23.35
310,Palisades Park,64589,20716,52.56,29.81,1.99,56.75,21.07,54.75,,43.5,14.33
311,Ramsey,137768,15121,49.07,89.02,0.13,10.18,5.59,53.36,,46.6,24.31
312,Rockleigh,158594,599,42.74,90.48,4.67,2.5,9.02,14.02,,67.8,17.03
313,Bogota,79356,8437,50.09,68.26,10.62,5.91,44.51,50.71,,38.7,21.09
314,Wallington,62648,11701,48.27,88.89,3.68,5.74,14.49,52.48,,40.1,18.2
315,Washington,128750,9368,50.09,91.99,0.25,6.37,10.58,51.75,,46.0,20.73
316,Saddle Brook,94177,14076,48.39,87.72,1.31,8.92,14.73,53.83,,43.9,16.6
317,Wood-Ridge,102283,8350,47.44,79.35,2.68,13.87,13.74,50.19,26.0,43.3,19.88
318,Garfield,54063,31808,47.67,83.88,4.6,2.36,35.84,46.91,26.0,37.4,22.81
319,Montvale,120060,8440,47.82,76.62,3.08,15.34,11.81,46.45,,46.3,23.85
320,New Milford,84025,16760,49.34,71.05,3.38,18.04,17.55,54.39,32.0,43.8,19.16
321,Englewood Cliffs,134629,5435,48.57,54.89,1.82,40.86,4.91,40.42,,47.9,23.75
322,Midland Park,105313,7336,49.1,95.24,0.82,0.89,13.3,53.49,,43.2,23.81
323,River Vale,138914,10055,50.74,89.31,0.16,7.9,4.46,51.41,,46.5,25.38
324,Carlstadt,89419,6268,48.34,85.1,0.0,8.58,26.66,54.5,,41.4,17.82
325,Cranford,122848,23972,48.87,89.33,2.81,3.11,9.97,52.78,31.0,43.7,22.55
326,Kenilworth,108281,8235,53.01,78.12,1.79,6.72,27.33,52.4,,46.6,21.55
327,New Providence,129638,12716,48.76,82.42,0.94,12.86,7.77,47.42,,41.8,27.37
328,Hillside,65717,22069,47.11,25.8,55.06,4.18,17.33,50.22,28.0,42.3,21.37
329,Rahway,69813,29443,49.08,49.43,29.35,3.76,32.52,51.28,30.0,42.1,22.16
330,Clark,100192,15607,48.15,94.25,1.34,2.76,13.65,54.24,,43.7,20.13
331,Linden,66538,42230,48.62,53.65,29.95,3.93,30.22,50.77,28.0,41.8,20.27
332,Mountainside,129405,6907,47.4,87.4,1.64,6.98,3.72,44.81,,49.7,22.6
333,Scotch Plains,117765,24339,46.76,74.92,12.4,8.55,8.05,52.17,,44.8,23.1
334,Union,79324,58499,48.31,49.04,30.6,10.41,16.34,51.51,29.0,47.6,18.22
335,Winfield,59153,1525,48.07,93.31,1.97,0.46,13.25,54.49,,47.0,16.79
336,Berkeley Heights,147614,13576,49.16,85.0,1.66,12.32,5.55,48.87,,45.9,25.09
337,Elizabeth,45186,129363,49.8,46.63,19.16,1.79,64.11,48.2,25.0,37.3,26.2
338,Fanwood,132292,7648,46.77,81.21,6.72,9.04,7.83,47.03,,42.2,28.19
339,Plainfield,56425,51097,50.44,22.05,40.81,0.99,43.61,49.79,30.0,33.6,24.85
340,Springfield,110547,17528,44.68,76.35,8.68,9.84,10.43,53.58,,47.4,20.33
341,Westfield,159923,30591,47.75,85.27,3.48,6.28,7.6,47.46,37.0,42.6,28.92
342,Garwood,79063,4365,49.71,95.01,1.56,1.7,15.37,52.97,,40.1,20.6
343,Roselle Park,67300,13709,49.33,62.19,9.35,8.34,27.22,51.76,28.0,43.0,23.23
344,Summit,132443,22155,49.29,81.2,3.53,7.72,15.6,46.88,31.0,40.6,28.6
345,Roselle,52480,21746,46.17,25.9,51.09,1.57,30.86,47.97,29.0,41.7,21.87
346,Washington,64282,6517,47.77,85.51,5.88,4.07,13.7,57.0,,39.5,22.79
347,Allamuchy,90924,4559,51.39,94.82,0.9,2.9,5.86,56.61,,48.2,16.82
348,Alpha,68788,2225,48.85,94.7,3.15,0.0,2.7,50.29,,43.5,20.09
349,Knowlton,85652,2976,50.24,92.51,1.14,3.36,1.41,52.28,,47.2,20.7
350,Frelinghuysen,106875,2283,47.74,91.68,3.02,0.22,6.79,47.48,,48.7,21.38
351,Greenwich,109267,5555,49.56,81.12,7.42,8.95,4.63,47.79,,44.1,26.52
352,Harmony,87000,2540,44.45,99.13,0.87,0.0,2.32,53.54,,46.1,16.93
353,Springfield,108875,3345,51.9,89.96,4.81,1.82,9.6,50.28,,44.3,25.89
354,Bordentown,85640,11808,47.7,75.52,8.55,10.39,7.1,51.19,,44.1,22.4
355,Edgewater Park,65778,8799,43.89,61.08,29.38,1.47,14.84,51.01,,42.5,19.5
356,Hainesport,97420,6083,52.92,81.92,10.01,5.75,2.71,56.62,,48.3,22.6
357,Maple Shade,57460,18940,46.27,76.13,10.01,7.05,10.97,54.52,23.0,43.2,18.44
358,Mount Laurel,92826,41795,47.3,77.84,8.81,8.97,4.44,52.55,28.0,46.0,21.0
359,Beverly,48583,2520,46.71,60.04,22.9,0.48,8.25,45.95,,49.6,21.63
360,Burlington,50709,9835,46.98,54.03,31.05,3.25,10.78,49.89,,43.4,21.21
361,New Hanover,83646,7665,84.85,55.56,30.85,2.28,22.87,8.95,29.0,35.5,7.93
362,Riverton,95288,2730,46.89,91.25,4.51,0.4,4.54,53.44,,45.5,21.65
363,Shamong,102316,6470,47.84,94.99,0.4,1.85,4.16,50.71,,40.8,27.51
364,Burlington,81738,22713,48.54,53.33,29.43,7.65,10.28,52.89,30.0,46.4,23.34
365,Chesterfield,142424,7616,59.35,63.64,17.31,13.5,9.35,39.26,,37.4,24.51
366,Cinnaminson,97993,16528,49.99,90.62,4.74,1.8,5.95,52.71,25.0,43.1,19.91
367,Eastampton,90938,6003,50.11,63.75,19.86,7.76,7.56,54.64,,37.2,23.19
368,Evesham,94395,45489,48.46,85.71,4.97,6.08,4.7,55.11,27.0,43.9,21.03
369,Fieldsboro,77969,768,56.25,67.45,8.33,0.78,16.93,41.28,,41.1,28.39
370,Mansfield,87704,8586,49.87,74.81,9.34,12.19,3.14,48.93,,54.4,15.75
371,Moorestown,133902,20568,47.36,83.52,6.31,7.22,2.12,49.16,26.0,45.3,24.57
372,Tabernacle,99549,6920,52.8,94.12,0.81,0.87,4.15,52.44,,46.8,22.1
373,Washington,67143,736,52.85,89.4,1.9,0.41,13.04,49.32,,46.2,18.34
374,Lumberton,84558,12390,47.28,72.11,17.88,3.12,5.75,49.28,30.0,44.6,24.0
375,Medford Lakes,105598,4075,48.1,96.98,0.61,0.47,1.99,55.85,,45.5,22.33
376,Pemberton,67750,1439,44.06,67.27,15.5,2.78,24.46,48.44,,51.9,18.9
377,Florence,81011,12645,46.0,76.27,12.71,6.47,6.73,54.65,,46.2,20.16
378,Delran,94321,16747,49.31,82.14,9.6,4.98,2.25,53.56,,41.0,22.14
379,Medford,113469,23353,49.07,91.84,2.15,2.45,3.41,49.96,,46.5,23.21
380,Mount Holly,60656,9536,52.47,70.28,20.18,2.01,16.61,42.45,,39.7,20.53
381,Riverside,60885,7969,53.08,77.6,13.58,1.56,11.96,54.51,,42.5,20.81
382,Southampton,57439,10274,47.28,93.41,2.69,0.51,4.35,41.91,,56.7,14.18
383,Willingboro,70967,31568,45.61,18.8,71.44,2.07,9.28,46.84,31.0,49.4,20.67
384,Woodland,95074,1510,56.36,90.6,2.32,0.6,5.17,46.82,34.0,48.4,22.32
385,North Hanover,63417,7634,52.55,69.91,15.56,2.14,17.84,37.45,27.0,29.9,32.5
386,Bass River,66193,1453,56.71,91.33,0.76,0.76,6.26,53.48,,44.0,18.1
387,Bordentown,76250,3872,47.65,80.6,11.26,4.11,4.03,56.87,,38.7,19.24
388,Pemberton,62024,27573,50.58,65.93,19.48,2.26,13.06,43.5,31.0,37.0,23.48
389,Westampton,105000,8730,46.55,60.39,22.35,5.44,12.11,50.88,,44.8,23.44
390,Palmyra,68307,7296,48.25,70.07,17.72,3.41,8.91,55.63,,47.5,17.98
391,Wrightstown,43125,708,50.28,57.2,20.76,7.77,30.51,44.92,,35.3,25.42
392,Dover,65538,18307,51.83,56.56,6.48,2.71,69.65,58.85,,39.7,21.81
393,Chatham,176364,10507,48.58,85.75,1.97,10.29,3.13,46.08,35.0,44.1,28.48
394,Denville,116078,16822,47.63,87.21,2.16,8.27,6.6,53.18,29.0,45.8,22.67
395,East Hanover,121769,11241,46.16,84.18,0.82,13.04,14.45,50.14,,47.3,19.63
396,Hanover,116020,14436,49.69,83.53,1.3,13.78,8.7,52.23,24.0,45.6,21.48
397,Kinnelon,147267,10242,51.5,92.07,0.36,5.56,12.32,50.76,,44.0,26.23
398,Lincoln Park,91285,10464,50.08,88.87,2.34,5.29,11.57,52.77,26.0,43.9,19.21
399,Butler,96474,7780,49.64,90.67,0.03,4.73,15.39,60.23,,40.8,18.41
400,Chester,101375,1540,48.44,88.83,0.78,2.14,10.19,42.4,,46.6,25.45
401,Morristown,92296,18833,50.8,73.14,9.09,6.09,32.7,64.46,,36.0,16.78
402,Rockaway,106599,24758,48.49,85.39,3.97,6.43,11.95,54.1,,45.1,20.72
403,Montville,134752,21739,48.84,77.47,0.81,19.04,4.94,52.68,29.0,46.7,24.05
404,Morris,142137,22498,49.4,85.88,4.33,5.08,7.34,50.43,27.0,46.9,20.25
405,Victory Gardens,45938,1655,44.77,59.09,11.3,2.96,63.2,52.81,,33.1,27.43
406,Boonton,91055,8390,51.47,81.14,3.02,8.47,14.33,60.38,26.0,39.3,20.62
407,Chester,153056,7931,50.31,90.49,0.82,4.39,6.88,49.09,,47.1,25.48
408,Harding,183587,3887,48.83,93.16,0.0,5.17,2.6,43.71,,52.5,20.66
409,Randolph,128125,25918,48.92,81.99,2.84,10.59,10.03,52.83,,43.6,24.15
410,Riverdale,100602,4238,47.45,91.86,0.0,4.58,10.5,60.67,,41.2,17.7
411,Chatham,163026,9003,49.32,88.15,1.58,8.46,9.81,48.25,,40.2,32.54
412,Mendham,185882,5877,48.49,91.78,0.6,3.98,6.82,47.27,,45.9,28.5
413,Long Hill,133269,8763,49.18,92.72,0.78,4.84,4.28,53.41,,46.1,21.1
414,Mendham,145284,4992,46.49,95.55,0.62,1.84,5.47,44.63,,48.5,26.08
415,Mine Hill,84904,3609,46.88,83.68,4.16,6.62,22.47,49.74,,39.6,22.22
416,Mountain Lakes,175556,4309,50.85,82.66,0.63,15.06,2.39,43.86,,44.4,31.59
417,Hackettstown,63940,9569,49.49,84.66,3.23,3.62,20.82,51.49,,38.5,21.47
418,Independence,98589,5541,48.94,92.49,2.47,2.29,6.68,59.0,,43.4,17.65
419,Mansfield,67491,7507,49.97,87.4,4.73,6.49,8.46,52.02,,46.3,21.62
420,Pohatcong,74888,3254,51.44,92.69,2.3,0.68,6.55,54.58,,37.7,22.96
421,Oxford,82578,2609,50.48,96.67,2.15,0.0,6.25,50.56,,43.4,20.66
422,Phillipsburg,49274,14540,48.5,80.13,11.2,1.38,13.33,48.24,,44.8,21.8
423,Washington,105768,6494,46.74,91.87,4.93,1.97,2.83,52.79,,49.1,19.31
424,Franklin,90648,3105,50.82,95.85,0.48,1.67,2.51,52.62,,46.0,22.0
425,Belvidere,51917,2619,47.35,95.23,0.38,1.6,3.78,49.64,,40.3,23.67
426,Blairstown,88594,5833,48.96,97.27,0.94,0.99,12.79,47.73,,45.6,21.93
427,Liberty,101016,2857,49.77,94.05,0.42,3.99,4.45,56.32,,46.0,21.32
428,Lopatcong,78153,8300,45.88,86.33,6.12,4.75,6.53,48.33,,47.1,21.98
429,Hardwick,105139,1559,49.97,96.34,0.9,1.92,3.59,49.9,,48.9,20.08
430,Hope,91852,1875,49.6,98.24,0.0,0.16,4.16,52.37,,48.3,18.99
431,White,63663,4771,48.84,95.1,2.89,1.57,5.72,40.1,40.0,55.3,13.44
432,Bayonne,56701,66719,49.61,65.7,11.11,8.97,29.6,46.7,34.0,43.2,22.26
433,East Newark,59313,2725,50.06,46.75,2.39,7.49,74.79,55.38,31.0,39.8,22.17
434,West New York,50477,53345,49.82,59.53,3.39,6.2,76.95,51.22,36.0,36.4,20.9
435,Secaucus,99883,19279,48.65,61.47,3.06,30.06,16.88,52.17,30.0,46.5,18.9
436,Union City,43424,69815,50.05,72.07,4.83,4.09,79.59,51.36,31.0,36.5,21.96
437,Hoboken,127523,54117,50.34,82.91,2.72,9.29,16.22,66.4,37.0,31.8,13.55
438,Jersey City,62739,265932,49.21,35.41,23.99,25.39,28.82,51.07,35.0,36.8,20.87
439,Guttenberg,54471,11733,48.01,58.37,3.35,7.44,65.85,54.88,38.0,41.3,17.68
440,Harrison,61168,15898,51.4,50.08,3.63,22.39,43.54,51.92,33.0,38.3,20.98
441,Kearny,63271,42487,50.19,67.05,4.61,4.93,47.07,48.23,30.0,40.2,21.66
442,North Bergen,57269,63438,49.71,69.53,3.32,6.91,73.12,51.73,32.0,40.0,21.26
443,Weehawken,84841,14268,50.55,75.01,3.97,9.99,37.6,59.37,33.0,37.7,16.49
444,Delaware,124151,4496,47.8,97.4,0.04,0.27,6.56,56.36,,52.5,16.64
445,Clinton,103125,2690,48.66,87.29,0.56,10.63,5.32,57.96,,44.4,23.23
446,Kingwood,112139,3777,56.63,97.03,0.0,0.66,1.8,56.05,,50.5,17.82
447,Franklin,108309,3234,46.94,98.89,0.0,0.34,4.08,53.4,,49.1,20.66
448,West Amwell,110000,2781,48.04,94.79,1.19,2.19,3.16,52.21,,45.6,20.86
449,Lambertville,84231,3840,52.47,94.84,2.34,1.67,2.71,62.32,,50.7,15.31
450,Tewksbury,161477,5881,48.84,94.95,0.0,4.71,3.09,47.88,,51.4,22.48
451,Alexandria,138039,4819,52.5,97.14,0.1,2.55,0.0,56.11,,45.7,21.75
452,Frenchtown,73438,1421,45.95,93.24,0.91,4.36,2.46,62.0,,48.0,18.3
453,High Bridge,92961,3565,50.97,95.06,2.05,1.46,9.54,50.38,,44.1,24.21
454,Holland,94766,5201,49.97,99.58,0.42,0.0,2.6,52.57,,48.0,21.57
455,Lebanon,110127,6152,48.89,93.84,0.63,1.66,5.74,57.88,,48.5,17.85
456,Bethlehem,127083,3915,50.19,97.01,0.0,2.3,2.27,54.25,,47.6,21.79
457,Union,108333,5669,51.58,83.56,9.21,4.07,5.91,47.17,,43.0,25.97
458,Califon,94531,1259,48.85,96.35,0.0,1.67,1.11,55.68,,41.8,26.05
459,East Amwell,107356,3933,49.15,95.45,2.01,1.4,8.37,57.18,,50.5,15.18
460,Raritan,120644,22103,47.49,89.86,2.5,5.75,5.35,52.26,,44.4,22.78
461,Flemington,60869,4650,48.92,72.86,1.89,13.96,33.27,48.8,,37.2,23.76
462,Lebanon,87837,1693,45.48,97.52,0.83,0.71,6.85,58.42,,43.9,15.59
463,Milford,78047,1284,47.82,97.59,0.0,0.47,5.45,54.52,,51.0,14.49
464,Readington,133320,15962,47.61,93.27,0.73,4.13,4.3,54.44,,48.4,19.45
465,Glen Gardner,67625,1587,47.51,92.06,4.47,1.01,8.38,56.96,,48.2,17.01
466,Hampton,70833,1286,49.53,91.76,1.24,4.35,7.54,51.17,,47.2,17.88
467,Clinton,135326,13067,58.58,76.12,12.55,5.22,9.72,44.59,,45.8,19.09
468,Stockton,108309,700,48.57,100.0,0.0,0.0,6.29,53.71,,44.4,19.86
469,Bloomsbury,80536,752,50.27,94.81,1.86,1.06,1.73,52.79,33.0,42.5,25.27
470,Delanco,79778,4503,46.21,76.73,15.08,0.11,5.35,53.28,,48.4,17.03
471,Woodland Park,73870,12542,48.72,77.54,6.25,6.44,27.05,49.97,,46.5,20.63
472,Robbinsville,137313,14281,48.94,78.47,3.4,14.83,4.91,54.37,34.0,42.8,25.42
473,,125506,30722,51.21,73.19,6.36,16.85,7.42,49.58,24.0,39.8,17.84
474,Lake Como,74861,1518,54.15,86.96,3.95,1.19,18.45,56.92,,43.1,17.26
475,Toms River,76051,91415,48.5,88.23,3.2,4.19,8.35,48.26,,46.1,20.74
476,Caldwell,85162,8032,47.87,88.55,2.91,3.51,12.35,55.93,,44.6,16.66
477,Mount Olive,86773,29010,50.1,81.0,6.49,8.51,12.79,54.08,,38.9,25.02
478,Netcong,56484,3245,49.0,86.87,5.42,4.07,11.4,58.77,,45.3,14.73
479,Parsippany-Troy Hills,93915,53444,47.66,58.82,4.4,32.83,9.63,52.8,26.0,45.6,18.92
480,Rockaway,83714,6473,48.9,84.33,4.8,7.66,17.13,51.83,,47.6,19.76
481,Roxbury,112625,23458,49.23,87.12,4.6,5.1,10.19,52.17,,44.8,21.99
482,Mount Arlington,90625,5405,43.48,88.94,5.49,3.89,8.64,52.21,33.0,51.2,14.75
483,Pequannock,94237,15499,47.38,94.67,0.15,1.43,8.34,47.93,,48.6,18.5
484,Morris Plains,125229,5605,51.19,91.88,2.16,4.71,9.1,54.75,,43.6,21.12
485,Florham Park,123266,11792,47.18,83.75,4.27,10.85,6.65,53.12,,44.6,15.25
486,Jefferson,97440,21440,52.48,90.47,1.88,5.54,8.66,52.97,,44.6,21.88
487,Washington,140445,18713,48.01,93.56,1.45,3.8,3.89,49.45,,45.0,25.41
488,Wharton,68265,6591,49.83,53.82,1.08,10.04,50.48,49.84,,49.8,24.41
489,Tinton Falls,79206,17902,44.89,79.26,8.84,5.5,5.07,48.73,,52.4,18.27
490,Bradley Beach,61209,4262,47.11,85.29,6.73,1.76,11.24,51.97,,44.7,14.83
491,Fair Haven,158264,6015,48.66,95.03,3.14,1.13,2.69,45.45,,40.5,34.86
492,Farmingdale,58875,1470,49.25,88.23,5.92,4.01,9.73,50.41,,37.6,26.46
493,Keyport,56935,7138,49.08,75.33,7.16,4.41,18.11,50.03,27.0,44.2,18.35
494,Little Silver,144250,5917,46.78,98.66,0.37,0.78,4.65,44.38,,45.1,26.94
495,Madison,127948,16080,46.97,84.98,4.12,6.73,9.64,48.33,,41.8,24.57
496,Boonton,136125,4353,49.18,88.44,0.83,9.44,2.55,49.78,,47.8,22.42
497,Loch Arbour,113333,195,51.79,91.79,1.03,3.59,1.54,54.36,,51.1,12.31
498,Aberdeen,93016,18372,48.9,79.11,8.71,5.23,10.66,52.63,36.0,40.1,21.49
499,Spring Lake Heights,78829,4645,47.79,96.9,0.62,2.3,3.79,53.48,,52.0,14.47
500,Manasquan,106298,5824,52.82,92.58,1.3,4.91,7.98,54.04,,47.1,17.57
501,Rumson,158229,6874,47.76,94.44,1.19,1.59,4.67,41.29,,42.1,33.46
502,Sea Girt,126667,1714,50.29,99.77,0.18,0.06,2.39,39.67,,58.8,14.18
503,Upper Freehold,133920,6899,46.69,90.42,2.22,5.77,3.15,50.62,,46.9,22.6
504,Manalapan,109326,40096,47.63,88.31,1.21,8.11,5.9,47.57,39.0,44.8,23.65
505,Allentown,96154,1890,47.41,91.27,3.12,1.16,3.12,57.62,,41.9,21.43
506,Asbury Park,39324,15830,49.2,37.25,46.78,0.66,30.16,47.87,24.0,40.6,23.83
507,Englishtown,77992,2131,45.05,83.2,3.14,7.84,9.76,47.11,,40.2,23.98
508,Neptune City,58936,4749,46.7,76.5,15.48,5.01,7.5,47.86,,43.7,21.46
509,Red Bank,75114,12220,48.8,61.73,13.4,2.25,36.66,58.17,27.0,41.8,20.81
510,West Long Branch,100000,7944,43.82,92.07,3.69,0.78,7.38,48.15,22.0,34.8,19.54
511,Colts Neck,167480,10018,48.93,94.33,1.74,2.31,3.56,45.17,30.0,46.2,25.94
512,Deal,78194,579,49.91,98.27,0.17,0.35,5.53,38.69,,62.7,10.02
513,Avon-by-the-Sea,78323,1814,46.36,97.02,0.5,0.22,4.63,47.74,,52.7,14.39
514,Freehold,99827,35429,49.93,83.24,5.57,7.33,8.9,49.59,,42.6,22.14
515,Hazlet,94657,20082,48.56,91.69,2.3,4.44,7.91,51.76,34.0,43.0,21.57
516,Holmdel,155842,16648,48.07,75.55,1.16,19.39,5.47,45.45,,49.4,22.5
517,Neptune,67836,27728,48.92,54.36,35.22,2.92,8.59,50.83,,51.0,17.87
518,Shrewsbury,122321,4051,44.31,96.94,0.59,1.58,1.78,45.79,,46.4,25.72
519,Wall,101983,26020,47.1,94.71,3.39,1.0,3.21,50.18,,46.8,21.05
520,Oceanport,107571,5762,51.16,95.61,0.21,2.55,8.35,49.39,,46.9,21.16
521,Roosevelt,100694,808,50.12,86.88,5.69,1.86,4.08,50.12,,41.4,21.29
522,Sea Bright,84922,1304,54.98,93.79,2.38,0.92,3.37,54.22,,51.9,11.96
523,Belmar,74942,5719,55.01,93.09,2.41,0.75,14.62,56.65,,47.7,13.34
524,Millstone,156891,10522,50.78,89.53,1.91,3.81,6.64,51.87,,46.2,22.69
525,Monmouth Beach,107383,3247,48.04,96.27,0.0,0.68,3.05,44.6,,54.1,19.13
526,Ocean,82941,27006,48.46,80.73,8.03,6.01,11.7,50.67,25.0,47.5,21.03
527,Middletown,105035,65952,49.16,93.17,1.08,3.34,5.77,50.21,33.0,44.0,22.73
528,Allenhurst,100781,506,49.01,97.23,0.0,0.4,1.38,51.19,,51.3,16.8
529,Brielle,133493,4738,50.51,94.81,2.6,0.4,4.07,50.19,,47.6,22.41
530,Freehold,57717,11938,51.47,68.13,12.97,1.95,49.36,50.82,,37.4,25.19
531,Highlands,60817,4880,52.32,95.47,1.0,0.33,6.62,58.34,,51.8,9.39
532,Howell,100305,52076,48.96,87.01,3.87,5.2,9.61,52.11,,41.4,23.52
533,Keansburg,46250,9868,46.99,79.64,7.24,2.81,15.22,47.4,,45.1,20.25
534,Marlboro,143208,40466,47.83,75.72,2.41,19.38,5.01,49.89,42.0,44.3,25.09
535,Matawan,86149,8898,50.12,82.03,8.15,7.53,10.29,53.57,34.0,40.3,21.74
536,Spring Lake,88679,2980,51.51,99.4,0.0,0.6,0.0,42.48,,55.6,20.5
537,Union Beach,77324,5634,41.27,83.74,9.28,2.98,12.9,48.03,,44.7,22.42
538,County subdivisions not,-666666666,0,,,,,,,-inf,-666666666.0,
539,Atlantic Highlands,95284,4322,51.18,92.11,2.57,1.18,5.6,54.12,30.0,47.0,18.83
540,Interlaken,145893,825,47.76,96.0,0.0,1.94,2.67,53.7,,57.3,14.42
541,Long Branch,54398,30751,50.22,65.01,14.98,3.22,31.46,49.71,27.0,41.0,21.65
542,Shrewsbury,57697,1117,43.78,59.27,25.51,10.3,15.31,65.8,,39.6,17.73
543,Eatontown,66470,12258,47.75,73.87,10.72,8.34,13.57,52.91,22.0,46.2,19.0
544,Millville,49950,28235,48.87,74.18,19.02,1.61,17.22,42.67,,43.2,24.97
545,Vineland,51113,60824,46.94,69.68,14.37,1.37,39.06,44.75,,41.7,23.65
546,Lawrence,73277,3234,49.57,78.6,11.35,0.0,13.54,48.14,24.0,37.1,24.98
547,Bridgeton,34135,24948,56.81,47.35,30.23,0.36,51.31,32.98,,29.0,31.05
548,Greenwich,71250,893,43.78,82.19,5.71,4.14,5.26,46.02,,48.4,23.85
549,Shiloh,54375,450,46.0,92.67,0.0,1.78,2.67,48.67,,47.6,18.22
550,Commercial,38750,5080,47.64,81.61,9.98,1.5,7.03,42.32,,38.6,25.93
551,County subdivisions not,-666666666,0,,,,,,,-inf,-666666666.0,
552,Deerfield,65625,3104,50.39,73.16,19.04,0.61,14.98,43.56,,45.7,18.72
553,Hopewell,77625,4496,51.82,82.38,8.52,2.34,4.65,47.69,,50.2,19.4
554,Rocky Hill,112917,622,50.96,88.91,8.84,0.32,8.2,47.91,,47.2,25.4
555,South Bound Brook,81545,4606,47.11,68.06,8.29,12.29,33.33,56.51,,39.5,23.77
556,Green Brook,136094,7210,48.02,69.02,5.85,24.62,11.79,56.52,,48.0,21.83
557,Hillsborough,119542,39712,47.8,73.86,5.47,16.87,7.75,54.66,30.0,44.0,23.57
558,Millstone,116500,550,47.82,91.45,1.09,3.09,7.64,45.64,,40.0,30.36
559,Montgomery,180660,23059,49.21,63.14,2.35,32.23,4.62,50.83,34.0,47.3,27.91
560,Raritan,78974,7758,47.83,74.75,2.59,15.53,18.6,55.86,25.0,43.4,20.13
561,Watchung,121678,5961,46.87,80.07,1.04,14.86,13.22,43.05,,44.4,24.14
562,Bedminster,104452,8244,46.24,88.88,1.36,7.04,7.08,62.6,,46.3,13.42
563,Bernards,137855,27032,48.23,75.48,2.34,19.19,5.42,46.81,,45.9,27.19
564,Franklin,93264,65999,48.86,45.03,27.05,22.49,13.6,51.86,31.0,48.3,19.48
565,Somerville,72731,12234,50.23,71.08,9.6,11.24,21.78,53.83,,39.3,19.57
566,Bound Brook,65199,10510,51.92,84.67,4.24,2.15,52.19,56.45,24.0,33.7,24.06
567,Branchburg,129237,14683,47.97,85.96,4.79,8.29,3.3,55.24,,44.5,22.78
568,Far Hills,112083,887,52.99,90.53,0.56,3.49,11.05,48.7,,48.3,21.2
569,Bridgewater,122684,45336,48.48,70.75,2.9,22.64,9.24,50.82,29.0,45.7,23.12
