,City,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
36,Upper Deerfield,49724,7523,45.66,74.36,4.69,3.71,10.87,41.39,,45.8,23.28
37,Stow Creek,69896,1327,48.08,90.96,5.05,0.68,4.07,46.04,,53.5,12.66
38,Downe,48011,1580,51.14,93.61,3.04,0.7,3.8,36.65,,49.9,19.05
39,Manville,67080,10436,47.73,89.15,4.61,1.56,23.39,52.71,23.0,38.7,21.69
40,North Plainfield,71895,22092,50.7,46.05,20.53,6.18,47.09,55.08,32.0,39.0,24.81
41,Peapack and Gladstone,129688,2595,45.51,89.02,4.08,1.31,11.41,46.59,,43.0,29.21
42,Warren,154647,15998,48.73,78.87,0.79,18.11,5.67,48.57,30.0,47.4,22.77
43,Bernardsville,150635,7792,56.17,87.54,0.03,4.36,13.51,52.84,,44.5,25.13
44,City of Orange,38645,30731,42.32,12.98,70.84,1.39,24.56,45.08,33.0,31.0,24.42
45,Livingston,153381,29955,49.45,72.36,1.65,22.44,4.02,47.39,31.0,47.7,25.14
46,Verona,113423,13585,46.99,89.07,1.98,6.36,5.51,51.04,,45.7,22.04
47,Belleville,67292,36383,48.72,60.94,10.45,11.11,44.43,53.27,29.0,42.3,19.34
48,Bloomfield,74961,48892,46.61,62.48,18.7,9.43,28.23,53.04,31.0,39.4,21.1
49,Fairfield,110303,7671,48.25,95.62,0.0,3.38,6.11,47.43,,46.4,21.08
50,Glen Ridge,196821,7668,47.95,82.26,7.37,5.75,11.2,48.54,,43.1,32.42
51,Nutley,93691,28829,47.28,79.8,2.98,11.55,15.74,53.2,30.0,42.9,20.59
52,Cedar Grove,115926,12638,44.7,84.63,6.92,7.15,5.48,49.98,29.0,49.3,17.58
53,Essex Fells,200875,2095,47.02,90.6,0.33,4.44,5.68,45.06,,47.9,26.54
54,Roseland,110208,5907,46.81,85.29,0.0,10.16,7.33,51.18,,50.4,20.03
55,South Orange Village,121637,16503,48.32,63.52,26.6,5.04,6.56,48.21,33.0,34.2,20.44
56,Maplewood,126000,24706,47.93,56.55,34.18,2.78,7.9,51.77,38.0,42.3,28.96
57,Millburn,202862,20387,49.7,71.59,3.1,20.93,4.43,44.87,37.0,44.1,32.55
58,West Caldwell,105931,10932,46.53,90.92,1.2,7.02,5.31,49.35,27.0,46.5,20.02
59,Irvington,39734,54715,48.12,6.42,86.85,1.49,9.62,46.46,33.0,36.2,25.7
60,West Orange,93954,47609,48.81,57.69,27.41,8.08,19.88,50.85,30.0,44.8,22.06
61,Montclair,113293,38572,46.78,65.08,24.7,3.3,9.85,51.48,35.0,40.4,25.59
62,North Caldwell,187470,6637,47.91,90.91,0.0,7.7,2.34,53.94,,47.0,25.39
63,Newark,34826,282803,49.41,25.29,50.12,1.75,36.38,41.06,34.0,36.0,24.79
64,East Orange,41819,65151,46.03,3.48,87.22,1.25,9.2,45.36,32.0,50.2,22.81
65,Beachwood,72815,11193,50.88,94.89,1.28,0.32,7.82,51.79,,35.8,24.53
66,Lakehurst,62262,2687,49.57,85.52,5.43,4.61,12.73,43.88,,34.3,29.48
67,Pine Beach,95909,2185,46.54,95.06,2.06,1.97,4.26,52.63,,51.5,16.66
68,County subdivisions not,-666666666,0,,,,,,,-inf,-666666666.0,
69,Barnegat,69877,22141,46.81,88.18,7.15,0.5,8.68,41.62,,48.9,21.07
70,Ship Bottom,73125,984,47.26,96.85,1.63,0.81,1.12,43.8,,61.8,9.96
71,Beach Haven,86705,1102,47.19,96.01,2.45,1.0,1.09,41.11,,60.0,8.53
72,Island Heights,82174,1581,43.39,89.63,0.76,1.01,3.8,48.64,,51.6,16.19
