,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income_x,Population_x,lat-API,long-API,target search add,Income_y,Population_y,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
33,Chapel & Haddonfield,39.93,-75.03,512 Haddonfield Road,,,Cherry Hill,NJ,97069.0,71204.0,39.9333938,-75.03056219999999,"512 Haddonfield Road, Cherry Hill, NJ",97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08
34,Garden State Park,39.92,-75.04,2026 Route 70 West,Suite A,Garden State Park,Cherry Hill,NJ,97069.0,71204.0,39.9218643,-75.0372786,"2026 Route 70 West, Cherry Hill, NJ",97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08
35,Macy's - Cherry Hill Mall,39.94,-75.02,2000 Route 38,,,Cherry Hill,NJ,97069.0,71204.0,39.94086,-75.02570159999999,"2000 Route 38, Cherry Hill, NJ",97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08
36,NJ Walt Whitman Travel Plaza,39.89,-75.0,NJPK MM 32.3,,,Cherry Hill,NJ,97069.0,71204.0,39.8859353,-75.0026304,"NJPK MM 32.3, Cherry Hill, NJ",97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08
37,"Rt. 70 West, Cherry Hill",39.91,-75.0,1192 East Rt. 70,#12,Kinko's Plaza,Cherry Hill,NJ,97069.0,71204.0,39.8981861,-74.8632315,"1192 East Rt. 70, Cherry Hill, NJ",97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08
38,Target Cherry Hill T-1085,39.93,-75.03,2137 SR-38,,,Cherry Hill,NJ,97069.0,71204.0,39.9360852,-75.02521469999999,"2137 SR-38, Cherry Hill, NJ",97069.0,71204.0,48.9,73.88,6.65,13.46,7.03,51.85,26.0,45.6,22.08
39,Chester Springs Shopping Center,40.78,-74.69,537 Route 206 South,,Chester Springs Shopping Center,Chester,NJ,101375.0,1540.0,40.779126,-74.695587,"537 Route 206 South, Chester, NJ",101375.0,1540.0,48.44,88.83,0.78,2.14,10.19,42.4,,46.6,25.45
40,Chester Springs Shopping Center,40.78,-74.69,537 Route 206 South,,Chester Springs Shopping Center,Chester,NJ,101375.0,1540.0,40.779126,-74.695587,"537 Route 206 South, Chester, NJ",153056.0,7931.0,50.31,90.49,0.82,4.39,6.88,49.09,,47.1,25.48
41,Target Clark T-1467,40.63,-74.31,45 Central Ave,,,Clark,NJ,100192.0,15607.0,40.6280099,-74.30797129999999,"45 Central Ave, Clark, NJ",100192.0,15607.0,48.15,94.25,1.34,2.76,13.65,54.24,,43.7,20.13
42,1490 Blackwood-Clementon Road,39.8,-75.04,1490 Blackwood-Clementon Rd.,Gloucester Township,Cherrywood Plaza,Clementon,NJ,52634.0,4933.0,39.8028018,-75.041926,"1490 Blackwood-Clementon Rd., Clementon, NJ",52634.0,4933.0,45.69,67.77,27.87,0.0,12.79,45.19,,40.4,22.34
